id,request_id,payment_mode,payer_identifier_type,payer_identifier,payee_identifier_type,payee_identifier,amount,currency,note
0,d0f97a39-9461-4655-8b65-94a099764ba1,CLOSEDLOOP,MSISDN,0413356886,MSISDN,0495822412,10,USD,Payment to James Ramirez
1,1c336a86-f30e-4831-a1d6-08258fa73202,CLOSEDLOOP,MSISDN,0413356886,MSISDN,0495822412,16,USD,Payment to James Ramirez
2,40116a11-260a-405d-9eda-dd222433026e,CLOSEDLOOP,MSISDN,0413356886,MSISDN,0424942603,10,USD,Payment to Caleb Harris
3,40d3b37e-b81c-4e73-83e8-4e2cf5bade80,CLOSEDLOOP,MSISDN,0413356886,MSISDN,0424942603,16,USD,Payment to Caleb Harris
4,16fa782e-6281-4a20-8bdf-efc03d54d511,CLOSEDLOOP,MSISDN,0413356886,MSISDN,0445271476,10,USD,Payment to Scarlett Taylor
5,f250341d-ae8f-4e8c-9b49-aa16f752b8da,CLOSEDLOOP,MSISDN,0413356886,MSISDN,0445271476,16,USD,Payment to Scarlett Taylor
6,973e8fe2-58ce-4df5-b9de-928c66a1a195,CLOSEDLOOP,MSISDN,0413356886,MSISDN,0450258089,10,USD,Payment to Sophia Nguyen
7,57ebffb1-7541-4349-b6e1-00ba1a156f2e,CLOSEDLOOP,MSISDN,0413356886,MSISDN,0450258089,16,USD,Payment to Sophia Nguyen
8,9625b07e-00d7-478f-9405-ac1030442e66,CLOSEDLOOP,MSISDN,0413356886,MSISDN,0498660918,10,USD,Payment to Nathan Hall
9,73737e62-06ff-4b4e-b2a0-a5cf8a124863,CLOSEDLOOP,MSISDN,0413356886,MSISDN,0498660918,16,USD,Payment to Nathan Hall
