id,request_id,payment_mode,payer_identifier_type,payer_identifier,payee_identifier_type,payee_identifier,amount,currency,note
0,3562ddb1-518b-4f9c-8855-49ae546b2078,MOJALOOP,MSISDN,0413509790,MSISDN,0495822412,10,USD,Payment to James Ramirez
1,6c8deee9-b222-4424-8c32-26f5ba3b7ac6,MOJALOOP,MSISDN,0413509790,MSISDN,0495822412,16,USD,Payment to James Ramirez
2,adf03924-56bc-4259-a48c-b65fb999b0f9,MOJALOOP,MSISDN,0413509790,MSISDN,0424942603,10,USD,Payment to Caleb Harris
3,43201e16-e9aa-4c72-bd3c-1cae21a73aaf,MOJALOOP,MSISDN,0413509790,MSISDN,0424942603,16,USD,Payment to Caleb Harris
4,c3890d9d-64d0-483a-bbaa-0341d3c45a7b,MOJALOOP,MSISDN,0413509790,MSISDN,0445271476,10,USD,Payment to Scarlett Taylor
5,64a53eb6-3fd7-48a5-b5c1-a73987d44335,MOJALOOP,MSISDN,0413509790,MSISDN,0445271476,16,USD,Payment to Scarlett Taylor
6,e9e5d95a-d531-43cd-93d3-ffb40e517ec5,MOJALOOP,MSISDN,0413509790,MSISDN,0450258089,10,USD,Payment to Sophia Nguyen
7,c53d9869-53e9-4de6-8207-2582b25a9228,MOJALOOP,MSISDN,0413509790,MSISDN,0450258089,16,USD,Payment to Sophia Nguyen
8,26250c24-9351-4b08-a8e1-b99e9c3f33b7,MOJALOOP,MSISDN,0413509790,MSISDN,0498660918,10,USD,Payment to Nathan Hall
9,1c1233f2-0330-4298-8122-f21ae4eadbda,MOJALOOP,MSISDN,0413509790,MSISDN,0498660918,16,USD,Payment to Nathan Hall
10,af9162a6-a6e7-4ad7-a8b3-3f78ae73ab77,MOJALOOP,MSISDN,0413509790,MSISDN,0472794194,10,USD,Payment to Gabriel Garcia
11,640b85e1-1245-4b70-a41c-8847dff66365,MOJALOOP,MSISDN,0413509790,MSISDN,0472794194,16,USD,Payment to Gabriel Garcia
